Gene.symbol,logFC,P.Value
ACSS2,0.197298321,0.010425969
,-0.188143821,0.010435778
CREB1,0.130325,0.010442466
,-0.613574179,0.010544796
CCL16,0.130255429,0.0105576
,0.287570464,0.010598953
KAT6A,0.192934,0.010628535
MFSD12,-0.171669179,0.01068785
TAF1,0.171686571,0.010703253
MMP16,0.13677425,0.010723491
SESTD1,-0.309664071,0.010825002
PPT2-EGFL8///AGPAT1,-0.216132107,0.010826707
PPT2-EGFL8///AGPAT1,-0.216132107,0.010826707
PPT2-EGFL8///AGPAT1,-0.216132107,0.010826707
SORL1,0.251425,0.010983476
FAM129A,0.3454635,0.011015326
RAPGEF6,0.200569857,0.01102968
CXorf40B,0.210613643,0.011037042
MT1B,-0.162994286,0.011056861
OMD,-0.097802357,0.011071263
SNX29,-0.156551679,0.011108467
CSF2RB,0.22614,0.011287172
MLXIP,-0.218395036,0.011300312
,-0.199159036,0.011440591
SDE2,0.176552429,0.011551608
LYN,0.163193571,0.011602488
TCF3,-0.197350536,0.011628757
CDC20,-0.1804275,0.011660789
CLEC17A,-0.314335357,0.011677746
FAM126B,0.379002429,0.011691138
GEMIN7,-0.136008857,0.011733093
CD80,0.256327,0.011794913
ZFP36L1,0.165241071,0.01188669
CKAP2L,-0.241374821,0.011920593
YIF1B,-0.165247286,0.011982261
MB21D2,0.318892821,0.012008641
MKRN2,0.14121625,0.012027364
NIPSNAP1,0.197875321,0.012116481
REXO2,-0.314224679,0.012158155
ZNF23,-0.300429,0.012160364
FAM72A///FAM72D///FAM72B,-0.191615643,0.01216833
NETO1,-0.30431075,0.012173787
SART3,0.191830143,0.012186179
PECAM1,0.440278571,0.01242262
CCSAP,0.212419107,0.01254736
STK4,0.132831786,0.012605684
PCDHA4,-0.155721893,0.012607279
KDM4A,0.154666786,0.012642259
ADGRE5,0.216290714,0.012680722
CFH,0.354988786,0.012714562
CAMK4,0.604561643,0.012718623
IL22RA2,0.124132643,0.012811734
PRDM1,0.236530964,0.012812855
LOC93463,0.136429679,0.012819966
FNBP1L,-0.4587345,0.012873388
LMNA,-0.253131321,0.012905013
MLIP,0.131110679,0.012931984
HCAR2,0.385619036,0.012954995
ADGRL4,0.123733429,0.012962368
DUSP16,0.203925143,0.012965443
LOC541472,-0.182315214,0.013009028
TXK,0.433086179,0.013023687
CSNK1G1,0.126850643,0.013123393
FCGR2A,0.175857857,0.013144679
UBALD1,-0.307770071,0.013174527
PRPF8///PRPF8,0.248164571,0.013263594
,-0.222717821,0.013280332
ZNF653,-0.179623071,0.013307182
AQP3,0.305952786,0.013371655
RAB6A,-0.164593893,0.013374888
SH3GL1,-0.171129286,0.013376408
RBM23,0.198655357,0.013397513
NDUFS1,0.156676929,0.013399863
CCDC106,-0.132187893,0.013470838
,-0.145937321,0.013483318
YIPF2,-0.240365393,0.013520159
,-0.238828214,0.013523071
HERC3,0.156863929,0.013545005
TCHP,-0.136427964,0.013547521
OS9,0.151072143,0.013551735
KIAA0556,0.149647214,0.013685137
PDPR,0.335052214,0.013704135
SPATA20,0.353322964,0.013719677
CDYL,-0.110046286,0.013727367
PSMB9,0.205573929,0.013739298
PSMB9,0.205573929,0.013739298
PSMB9,0.205573929,0.013739298
BAG3,0.154170464,0.013746069
EDARADD,-0.103798393,0.013776705
EPAS1,-0.319933679,0.013820006
TAPBP,0.18724,0.013865626
TUBG2,-0.180084607,0.013867293
,-0.268758821,0.013894047
GPR68,0.128022429,0.013919925
C1orf105,-0.152045286,0.013938132
MZT2A,-0.189656643,0.013976075
SH3GLB2,-0.257572,0.014027081
ACACB,0.160451036,0.014081879
ADAM10,0.140055,0.014082891
TBXA2R,-0.247361536,0.01410751
,-0.234226036,0.014139842
SLC38A11,-0.55245325,0.014196998
IL31RA,0.26195975,0.01427928
HIST1H2BH///HIST1H2BH,-0.219711071,0.014352694
TOP3A,0.138941964,0.01435322
,-0.178974643,0.014401947
PAPD5,0.156371607,0.014433848
ATG4D,-0.139134357,0.014443863
ICK,0.232963393,0.014532645
TAS2R8,-0.12992975,0.014562545
CFHR2,-0.134758607,0.014576606
UBE2S,-0.160514357,0.014633316
HELB,0.348433429,0.014700768
ZNF641,0.366734964,0.014701341
DPP4,0.495390036,0.014720209
SCD5,0.170154607,0.01472188
ASXL2///ASXL2,0.149390607,0.014775321
PRRC2C,0.139547143,0.014829756
RNF4,0.132934107,0.014832265
RALGAPB,0.129810536,0.014865714
LRRD1,-0.128436607,0.014914437
,-0.305511,0.014957794
ALAD,-0.151800464,0.014967782
FBXO32,0.365229643,0.01501947
RNF157,0.307770464,0.01502002
,-0.238580964,0.01502203
,-0.291133214,0.01506258
SERPINB10,-0.632424929,0.015111125
BCL11B,0.333919071,0.01511528
STAT3,0.201367143,0.015153483
POU5F1P3///POU5F1P3,-0.138083036,0.015177387
RBL2,0.195914714,0.015262985
GCHFR,-0.100848714,0.015339141
,-0.559004036,0.015487367
,-0.072895429,0.015524905
CCR9,0.19649125,0.015537575
,-0.155209107,0.01555269
PRKAR1A,0.180867857,0.015593137
LHPP,-0.194224429,0.015601801
LRRC8A,-0.264727464,0.015612643
DHCR24,-0.226509036,0.01562385
LRRC75A-AS1,-0.586654643,0.015650309
,-0.118774321,0.01567383
SUPT16H,0.230262607,0.015692648
FFAR2,0.356154929,0.015705195
,-0.108446643,0.015757728
TTTY14,-0.160006143,0.0157843
GLG1,0.224662429,0.015803169
SMARCA2,0.145603286,0.015826382
NME4,-0.24684025,0.015880103
GSTM2P1,-0.167968857,0.015906761
,0.126728643,0.015949671
DAOA-AS1,-0.125402393,0.015982854
PPP1R16A,-0.119322714,0.015990212
GIPC3,-0.190878179,0.016000246
BCO2,-0.114804821,0.01600051
HIST1H3H///HIST1H2AI,-0.33675,0.016000627
SCGB1D2,-0.120687214,0.016053337
BCL9,0.242430679,0.016096876
AFF1,0.177733214,0.01610876
GDF15,-0.180154357,0.016229479
,-0.201342179,0.016274433
MIIP,-0.194670214,0.016306483
SMC1A,0.232272,0.016317227
,-0.136473429,0.016318849
PITPNA,0.173395714,0.016318917
HNRNPH3,0.171439107,0.016382431
KIF11,-0.266544393,0.016392394
MGAT4B,-0.154580464,0.016459822
TIMP1,-0.249526429,0.016494721
CD28,0.579570321,0.0165382
SYNCRIP,0.182000393,0.016542276
FLJ35934,-0.137058929,0.016563295
ELANE,-0.387350643,0.016581258
ARRDC3,0.236644643,0.016595462
LEF1,0.640475821,0.016639586
ATF6,0.167804286,0.016772774
KIAA0040,0.172928214,0.016777812
XRN2,0.201187321,0.016789504
UBR2,0.169721429,0.016829848
IST1,0.109235357,0.016852892
TRAPPC5,-0.186321429,0.016903023
TCEB3B,-0.157747714,0.016924947
BANP,0.145428714,0.016943718
BACE2,-0.240940714,0.016945328
NLK,-0.154035393,0.016953857
DDX46,0.175974393,0.016987718
SPOCK2,0.368160786,0.017039889
CEP55,-0.130935714,0.017042313
,0.247439107,0.017063833
RPL36A-HNRNPH2///HNRNPH2,0.214827929,0.017135376
IPCEF1///CNKSR3,0.165474571,0.017140571
,-0.081574179,0.017141573
FAM110B,-0.245071429,0.017197875
NECTIN3,0.201951036,0.017213046
OLR1,-0.553753964,0.017322442
BTF3P11,-0.128209714,0.017347576
CTSC,0.166969643,0.017383488
GFM1,0.278553464,0.017403565
SF3B2,0.141030929,0.017405836
,0.135533464,0.017414594
PLK1,-0.154909393,0.017436166
PIAS1,0.086299643,0.017516554
ITM2A,0.462783393,0.017568749
TSPAN13,-0.266329821,0.01765666
