Gene.symbol,logFC,P.Value
CALB1,-0.302086528,0.000135526
GOSR1,0.274033889,0.000136798
,-0.258068306,0.000138738
,-0.28407775,0.000139053
SERF2-C15ORF63///SERF2,-0.281264083,0.000140851
FAM47B,-0.190956,0.000141042
VPS33B,0.313846194,0.00014147
SNRPD3,0.402454389,0.00014372
NOL4L,0.224792667,0.000143959
PDPK1,0.358450833,0.000144149
,-0.266387972,0.000145406
ASCL1,-0.264602639,0.000145555
TTC31,0.259438056,0.000145765
DXO,0.198760028,0.000145969
PTCHD4,-0.266061389,0.000146037
,-0.249131694,0.000146459
PRDM10///FABP1,-0.192325111,0.000146693
,-0.388992917,0.000147238
FDPSP2///FDPS,0.205869056,0.000148254
EIF3F,0.308210167,0.000148351
ZNF445,0.244997583,0.000148617
PCDHA4,-0.334793667,0.000149983
LOC652276,-0.338265,0.000150176
DXO,0.166881556,0.000150437
DXO,0.166881556,0.000150437
,-0.279976444,0.000151996
MIR516B2,-0.257154222,0.000153543
,-0.258463944,0.000154756
RNF220,0.262300917,0.00015645
LIX1L,0.252829083,0.000158423
,-0.353081583,0.000159076
,-0.402362972,0.000159417
,-0.286867361,0.000160154
,-0.339605583,0.000160636
PMCHL2///PMCHL1,-0.208531,0.000161062
FAM24A,-0.246686,0.000161302
,-0.311093222,0.000161562
,-0.590216472,0.000162783
DGKA,0.520502361,0.00016351
SLC5A8,-0.197618361,0.000163523
FTSJ1,0.346813639,0.000163564
GSPT1,-0.541996111,0.000164831
PTPN18,0.320726667,0.000164842
SGSH,0.375230722,0.000165147
RBM14,0.313789833,0.000168386
NFKBID,0.242787333,0.000169117
YKT6,0.242873361,0.000169775
PGK1,0.252111944,0.000170209
XAB2,0.291311972,0.000170367
RPRD1B,0.179175139,0.000170879
FOXJ3,0.243605278,0.000171288
SMU1,0.403482778,0.000173462
RABL2A///RABL2B,0.342033917,0.00017373
,-0.263782583,0.000173806
,-0.202560972,0.00017488
LMLN,0.354239667,0.000174969
RABL2A///RABL2B,0.318812778,0.000175523
DCUN1D1,-0.674875306,0.000175557
NECAP1,0.230565389,0.000175871
RNVU1-17,-0.209553528,0.00017636
,-0.387705472,0.000176388
,-0.448189056,0.000177905
MORC2,0.440645056,0.00017907
SIAE,0.330478194,0.00017949
,-0.338197694,0.000179879
,-0.276769444,0.00017996
LCTL,-0.232104944,0.000181066
DNAJC8,0.610386528,0.000181532
SLITRK3,-0.257767611,0.000181788
KTI12///TXNDC12,0.290191583,0.000182215
,-0.502648694,0.000184309
TERC,-0.489309972,0.000184788
C19orf48,0.196291778,0.000185554
PEPD,0.590821556,0.00018583
URGCP-MRPS24///URGCP,0.335432028,0.000186102
TP53BP1,0.282712528,0.000186348
,-0.214202917,0.000187978
,-0.387411722,0.00019305
ECD,0.301468472,0.000193441
,-0.464984111,0.000194223
,-0.532832694,0.000195217
,-0.215095056,0.00019541
CA5BP1///CA5BP1,0.463422944,0.000195445
PI4KA,0.325000722,0.000196259
C12orf43,0.275425306,0.000198521
CDAN1,0.185939111,0.000199181
,-0.368789917,0.000201583
,-0.283226083,0.00020217
KBTBD11,-0.265898778,0.000202305
PLAC4,-0.264696139,0.000203382
,-0.192615861,0.000203952
TRAPPC2L,0.235132111,0.000204229
WDR55,0.230442194,0.000204443
NFATC2IP,0.352912972,0.000205455
MAVS,0.221207833,0.000205609
U2AF1L4,0.302003944,0.00020585
,-0.260921861,0.000205997
C7orf26,0.228568694,0.000206027
LENG8,0.322676222,0.000206584
,-0.580731778,0.00020665
,-0.315191611,0.000207613
,-0.243115222,0.000207614
,-0.238385889,0.000207765
GPR132,0.321891806,0.000210256
TNFAIP8L2-SCNM1///SCNM1,0.256616806,0.000210523
ANGEL1,0.36247375,0.000211104
KAT5,0.253863722,0.000213012
GADD45GIP1,-0.238864778,0.00021375
,-0.319304139,0.000215334
MTG2,0.301177528,0.000216699
,-0.267171583,0.000217557
MIR320A,-0.263331194,0.00021777
AKAP8L,0.229338639,0.000218185
LDB1,0.203640556,0.000218437
GNE,0.357257139,0.000219284
TXN2,0.316655333,0.000219565
,-0.565809583,0.000220868
FAF2,0.261397,0.000220981
,-0.270715583,0.000223831
RNF41,0.21332425,0.000225459
,-0.449883,0.000226193
CLPSL2,-0.267023583,0.000226899
FOLR2,0.319760056,0.000227581
CIRBP,0.308241111,0.000227604
UBE2B,-0.401413917,0.000227906
,-0.248257806,0.00022817
MIR494,-0.245017056,0.000229737
,-0.235973556,0.000229996
,-0.331291306,0.00023234
NFKB2,0.358401222,0.000233513
PRY2///PRY,-0.270470472,0.000235258
PRY2///PRY,-0.270470472,0.000235258
TPD52L3,-0.196755278,0.000236208
CXorf40A,0.214271528,0.000238137
,0.333716778,0.000238926
ST3GAL3,0.315505056,0.00023931
FHOD3,-0.234481167,0.000239459
,-0.400554028,0.000239539
ARMCX5-GPRASP2///ARMCX5,0.280239306,0.000240613
,-0.360795833,0.000242279
HIST1H2BL,-0.383964694,0.000242284
,-0.433712528,0.000242329
PTCRA///SMARCD2,0.253416944,0.000242501
C6orf47,0.299831917,0.00024251
ALYREF,0.623716833,0.000245103
,-0.2958695,0.000245292
VIPAS39,0.279758361,0.000245922
,-0.287697,0.000246764
UBE4A,0.238513889,0.000247323
TESC,-0.636689333,0.000249026
ABHD16A,0.291106889,0.000250953
,-0.266546972,0.000250962
ATXN7L1,0.341398778,0.000254167
FRS3,0.187398806,0.000255913
,-0.266117917,0.000256595
,-0.279381722,0.000256864
SIGIRR,0.417792722,0.00025922
,-0.405575333,0.000259244
,-0.467426694,0.000260679
ARMCX6,0.269366722,0.000262534
,-0.669807889,0.000263356
,-0.791752111,0.000265991
LOC100996763///NOTCH2NL///NOTCH2,0.244458056,0.000266777
,-0.269132944,0.000266961
PRCP,0.342559444,0.000267652
