Gene.symbol,logFC,P.Value
AGA,0.63770075,4.63872634112993e-05
MGAT4A,0.656731386,4.65647046534334e-05
LMLN,0.336917682,4.67355819849047e-05
KCNH3,-0.533768886,4.71068428555679e-05
MARCH3,-1.132765273,4.75190342853891e-05
STAT4,1.224136227,4.75477016915355e-05
FAM160B2,0.471051682,4.81941201406472e-05
RPN2,0.555036568,4.82371275259553e-05
SPTAN1,0.618812659,4.87656817980387e-05
GLRX5,-0.811433636,4.90070578369947e-05
HEATR1,0.820277591,4.92551234683416e-05
CCDC124,-0.574509477,4.93621951104581e-05
DDX19A,0.475254023,4.93987147471149e-05
GID4,-0.894102568,4.97799253861056e-05
SLFN12L,1.049646705,4.99689044995713e-05
SRRD,-1.348875591,5.07627385006408e-05
USP46,0.742708977,5.10572074382094e-05
SEC62,-0.901347136,5.1132781877442e-05
GADD45A,-0.748331386,5.13071365609567e-05
NOL6,0.454966614,5.13773014006301e-05
EDC4,0.468423023,5.1859106308348e-05
CLEC4F,0.520100432,5.1900203122361e-05
LRRC75A,-0.804486773,5.20165218712784e-05
NEDD4L,-1.424161727,5.25407894315084e-05
GTF3C2,0.455211114,5.2645035147112e-05
SEC14L4,-1.040050977,5.31827371166151e-05
ZNF653,-0.552494636,5.34512512890155e-05
DAP,-0.696696636,5.37029049499658e-05
TMEM256-PLSCR3///PLSCR3,0.709983977,5.37659794141232e-05
C1orf174,0.49386225,5.39147285506621e-05
VPS33B,0.410558273,5.47427137082215e-05
ELP3,0.706544568,5.49203146373737e-05
GCN1,0.533139705,5.53887902708606e-05
EIF2AK1,-1.027195682,5.55683866209896e-05
TRIM68,0.492429636,5.57780849677167e-05
TSTD2,0.539070705,5.60519913540863e-05
ACSL6,-0.967673955,5.64058164582884e-05
CA13,-0.577965705,5.70506100814549e-05
NUDT4P1///NUDT4P2///NUDT4,-0.972672273,5.74295529547351e-05
PRPF19,0.575742773,5.7784541570813e-05
,-0.6387325,5.79215968071894e-05
MTR,0.574001614,5.79463747094423e-05
PITPNC1,0.614901295,5.79751698606279e-05
CREG1,-1.009794318,5.81258423705872e-05
THEM4,0.71821,5.82058628187313e-05
DOCK10,0.926645227,5.83466768950546e-05
,-0.570665523,5.8539371725719e-05
FUBP3,0.483967386,5.87739083341947e-05
DIEXF,0.578098091,5.94990230593605e-05
ATP10A,0.582936818,5.95196049845773e-05
PPIL2,0.474550864,5.96024644830313e-05
MMAA,0.786721727,5.97125231394521e-05
BBOF1,-1.710700227,5.99440228482e-05
ZNF460,0.474662568,6.01270110841971e-05
CDC34,-1.107127273,6.06873787877387e-05
ATIC,0.846960568,6.17675303485735e-05
DIS3L2,0.502765932,6.18723556271369e-05
OR2T33///OR2T8///OR2T12,-0.622396545,6.2006772492157e-05
KCNA3,0.94628625,6.22450151034844e-05
DENND2D,0.819547114,6.22916719537774e-05
IL2RA,0.564523023,6.23846331198973e-05
,0.447756432,6.24824376886106e-05
ISCA1,-0.585163955,6.33479241571187e-05
DCAF10,-0.856605045,6.34017173170455e-05
LOC105375092,-0.679661705,6.34790720732428e-05
LAS1L,0.468516909,6.35851643380838e-05
FBXO9,-1.194008045,6.40164051884773e-05
PAPD7,0.47030575,6.45004530193941e-05
ACP5,-0.913271409,6.52362151158354e-05
TRERF1,0.807257409,6.61735694696512e-05
ANKRD36///ANKRD36B,0.920534432,6.695908491886e-05
SKAP1,1.149749795,6.70115915957178e-05
ARHGEF12,-1.292106682,6.72372520728374e-05
SRRT,0.456908932,6.73125473261369e-05
PHC1,0.540207023,6.76237713369171e-05
RAD23A,-1.201083045,6.79533351226919e-05
ZNF337,0.517172636,6.79753539017708e-05
ARL4C,0.875965727,6.81864771020924e-05
NEMP2,0.586270545,6.8379653919171e-05
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1///STAG3,0.642646614,6.84577255562921e-05
ABCD2,1.400528455,6.84843234345018e-05
MDN1,0.47858875,6.88584814974094e-05
GFOD2,-0.705927773,6.93763564298917e-05
TMEM173,0.648043455,6.94386244217471e-05
