Gene.symbol,logFC,P.Value
SIGLEC16,0.592583726,0.002956438
,0.368324667,0.003016129
LRRC4C,-0.197528226,0.0030338
FLG2,-0.198547167,0.003045465
,0.28475519,0.003051788
DENND4B,0.291052429,0.003053132
CD109,0.1785555,0.003081525
,-0.190642631,0.003099213
,-0.225896738,0.003116493
ATXN7L1,0.466527345,0.003124125
,-0.262358655,0.003132921
ZC3H15,-0.285948607,0.003141336
,-0.172872738,0.003149134
,0.494974429,0.003163329
,-0.25256244,0.003165163
AKAP4,-0.192755762,0.003180105
TAF15,-0.299900345,0.003182247
CFAP43,-0.17956194,0.003191815
NFKBID,0.301058619,0.003203306
ALS2,0.18921219,0.003208067
LAIR1,0.470670417,0.003221545
GRN,0.376598214,0.00324107
PHF19,0.296833036,0.003248299
LRFN2,-0.244811405,0.00326656
,-0.270888131,0.003283747
PCYOX1L,0.242332917,0.003287562
FAM162B,-0.196166988,0.003289672
SUMF1,0.227029321,0.003294296
ZNF729,-0.225986738,0.003309186
IER3,0.359165488,0.003312704
,-0.294354155,0.003316066
PPM1L,0.306162714,0.003323145
ARSE,-0.181416762,0.003347183
TPH2,-0.195571036,0.003357871
TNFAIP8L2-SCNM1///SCNM1,0.239419179,0.003359855
PHKG2,0.272405524,0.003370257
NDUFB6,-0.397913429,0.003377849
VWA5A,0.322795679,0.003387559
AFDN-AS1///AFDN-AS1,-0.207469976,0.003397352
NREP,0.356273571,0.003403969
COLGALT1,0.34102369,0.003447343
,-0.338780821,0.003470933
POU2F1,0.22986125,0.003473057
AMDHD2,0.183724833,0.003494883
,-0.141096786,0.003512943
RAB1B,0.317125476,0.003518835
MIR377,-0.147429048,0.00353841
C1QL4,-0.299924488,0.003541014
CYTH2,0.259562155,0.003551023
UBE2E4P///UBE2E3,-0.260028726,0.003554957
,-0.378600083,0.00355557
,-0.236165333,0.003556839
,-0.238296476,0.003561817
NLK,0.213645167,0.003582054
,-0.29022769,0.003602879
TBC1D13,0.230934917,0.003611427
,-0.368832143,0.00364126
,-0.22243219,0.003643634
,-0.338907583,0.003654173
TMEM198B///TMEM198B,0.239908548,0.003669118
