Gene.symbol,logFC,P.Value
OR11H6,0.172531188,0.031975766
,0.109415276,0.032158514
EPHX4,0.150083735,0.032240465
MIR205HG///MIR205///MIR205HG,0.162048671,0.032292195
CC2D2B,0.244381806,0.032311931
IGSF6,0.121866,0.032341501
,0.173990629,0.032365275
TMLHE,0.242702376,0.032523505
PECAM1,0.434548047,0.032570389
CREB1,0.14661,0.032735767
RNF25,-0.184242,0.03279621
FAM129A,0.3829729,0.032978487
UGT2B4,0.141827306,0.033257915
DYX1C1-CCPG1///DYX1C1,0.139749559,0.033288935
,0.0841533,0.03346054
NDUFB3,0.348783141,0.033527536
,0.121978994,0.033682734
KIAA1654,0.156774794,0.033879362
STK4,0.138909353,0.033974614
TMEM191B///TMEM191C///TMEM191A,-0.1399969,0.034006662
OR2AE1,0.232089076,0.034067984
UBE2D3,0.092107941,0.034081338
GPRC6A,0.147075853,0.034160955
CFAP221,0.121218929,0.034240231
KMT2E,0.114565824,0.034250905
NDUFB6,0.283978271,0.03426626
ABHD17A,-0.184426724,0.034302376
C8orf46,0.135355812,0.034334545
LYN,0.186798529,0.034460453
APBB3,-0.194097682,0.034468174
TIPARP,0.174641741,0.034596016
ESCO2,-0.220198935,0.034602564
MEIOB,0.111692694,0.034649458
,0.1420989,0.034712395
,-0.158209753,0.034790601
STAB1,-0.327602865,0.034811141
,0.084619329,0.034811913
,-0.343969888,0.03482189
VWC2L,0.181373994,0.034862756
SLC38A11,-0.577102424,0.035134409
DLEU2L,0.162472688,0.035146786
PPP1R14D,0.141615747,0.035287231
NDEL1,0.234984294,0.0355014
MC5R,0.148840859,0.035652736
ZSCAN9,-0.158850941,0.035709161
CD1A,-0.141071565,0.035781097
ZNF57,-0.157841318,0.035869324
DNAJC4,-0.143923006,0.035926067
,0.207295588,0.036019972
CNTNAP3B///CNTNAP3P2///CNTNAP3,0.931661006,0.036030292
CNTNAP3B///CNTNAP3P2///CNTNAP3,0.931661006,0.036030292
DEFB115,0.137416282,0.036047487
,-0.309531559,0.036049863
OR5L1,0.168901441,0.036056677
ACTR2,0.134799294,0.036097098
,-0.169783188,0.036260927
TET2,0.170652294,0.036304474
PUM2,0.120105412,0.036359342
ZNF29P,-0.128485506,0.036366685
MIR26A2,0.228404871,0.036380373
SOD2,0.229515059,0.036420586
LOC100288778///WASH1///WASH7P///WASH2P///WASH3P,-0.139537059,0.036634717
RBPJ,0.184068371,0.036713847
,0.119529253,0.036751473
F11,0.125613547,0.036814059
SLX1B-SULT1A4///SLX1A-SULT1A3///SLX1A///SULT1A4///SLX1B///SULT1A3///SULT1A1///SULT1A2,-0.194702353,0.036894933
ARHGAP4,-0.135863876,0.036938445
,-0.095724429,0.036978313
C3orf52,0.139877518,0.036995012
NDUFS7,-0.161919218,0.037048524
PTDSS2,-0.119875947,0.037120672
ZNF358,-0.121768365,0.037185133
MMGT1,0.161535871,0.037192524
TCEAL9,0.135140541,0.037250086
KAT6A,0.206432571,0.037265727
,0.105381941,0.037353349
,-0.331091565,0.037365379
TCEB3B,-0.166496024,0.037420088
CNTNAP3B///CNTNAP3P2///CNTNAP3,0.748043847,0.037427471
CLEC1B,0.330411171,0.037477803
,-0.2525889,0.037482043
,0.150151853,0.037752387
UBE2D3,0.088450176,0.03777501
,-0.344672188,0.037856144
,0.349773524,0.03793092
,0.119193829,0.037932236
IL21,0.125499071,0.037970025
REST,0.140782876,0.038086143
,-0.162831106,0.038123912
UBE2D3,0.089200647,0.038128725
,0.097905253,0.038225717
C1orf228,-0.138333276,0.038255539
FAM89B,-0.148681347,0.038311227
UBE2D3,0.089883176,0.038380673
SETBP1,-0.172490306,0.038391031
PTH1R,0.150069682,0.03840601
,0.152736941,0.038422199
,-0.164865259,0.038644416
SLC15A2,-0.314230112,0.03864699
PRSS58,0.140201,0.038694249
ALPK1,0.296022841,0.038732363
