Gene.symbol,logFC,P.Value
SNU13///ANXA2,0.599802945,7.94333661598742e-05
PAFAH2,0.469362764,7.95902550509616e-05
ZNF23,-0.888431055,8.1507096209611e-05
ANO9,0.435324345,8.34754736129155e-05
LMF1,0.434328673,8.37800124723e-05
C12orf66,0.508963364,8.44340152822741e-05
DDX19B,0.370389418,8.45946407863156e-05
PHB2,0.585352,8.47014105162689e-05
NEMP2,0.532695945,8.60041037859729e-05
CASP6,0.533320436,8.65935281366832e-05
LIN52,0.518384855,8.66836091005996e-05
PRRC2B,0.498429164,8.67885877411749e-05
GIMAP1-GIMAP5///GIMAP1,0.776043073,8.73257752810951e-05
CD40LG,1.315225182,8.78918962997681e-05
CECR1,0.714765327,8.91217803228937e-05
HARS,0.585199855,8.91831780597824e-05
THRB,-0.498454273,8.94699822396762e-05
UBAP1,-0.558671364,8.96779224359251e-05
RPRD2,0.527259327,8.98810370840946e-05
UBASH3A,0.8807448,9.04082662740571e-05
IPO9,0.614253182,9.04835215777418e-05
AP3M2,0.598393655,9.05068569091684e-05
MAGED1,0.4872188,9.05814647060663e-05
HLA-DPB1,0.702268,9.0838365096831e-05
TMEM41A,0.509867818,9.1300918570535e-05
SKAP1,1.040018745,9.19758923251341e-05
FAM86HP///FAM86B1///FAM86C1,0.6479956,9.2348061112337e-05
HEG1,0.801901982,9.24130595369072e-05
SEPT6,0.545552527,9.28035107206057e-05
CUL1,0.672715618,9.34695273789838e-05
ERCC3,0.508958182,9.36447601741051e-05
MORC4///MORC4,0.744674127,9.45204348933373e-05
STYX,0.656037236,9.51139708760846e-05
ACP5,-0.823633309,9.54399587263386e-05
SHROOM4,-0.449326309,9.55495075298729e-05
LDHB,1.187914436,9.55746623291875e-05
DYRK3,-0.751941382,9.59188291097364e-05
SF3A3,0.694414673,9.63091691985414e-05
RHNO1,0.558942691,9.73889809751163e-05
ASPM,-0.9699612,9.740934823361e-05
NAA35,0.720807491,9.80392424188234e-05
EIF3F,0.743419964,9.81759396039863e-05
TERF2,0.341531673,9.82755068071052e-05
SRRT,0.411946182,9.93241313616071e-05
GIT1,0.437771345,0.000100634
PEBP1,0.682440545,0.000100651
BCL9,0.582590564,0.000101493
OR6C4,1.661573091,0.000101828
RFC5,0.347541618,0.00010221
MSX2P1,0.444055764,0.000102339
TTF2,0.581726455,0.000102717
CDK5RAP1,0.437090418,0.000103948
SLC25A26,0.672904345,0.000104439
NVL,0.629572564,0.000104664
,-0.442583455,0.000104827
PDIA3P1///PDIA3,0.691250709,0.000105302
DCUN1D1,-0.827645073,0.000105786
,-0.423703909,0.000107084
MINOS1,0.328404145,0.000107636
GOT2,0.511124364,0.000111238
ABCD2,1.255747855,0.000111978
NOA1,0.498716945,0.000112098
BTN3A3,0.654442055,0.000112815
CD177,-2.074128255,0.000113127
EPOR,-0.413958273,0.000113665
SHQ1,0.663515545,0.000113801
SCAMP1,0.503144073,0.000113956
SPTAN1,0.546620109,0.000114776
CCNDBP1,-0.441427636,0.000115029
C7orf26,0.427598436,0.000115289
CAPN2,0.623522273,0.00011549
TULP3,0.658533673,0.000117287
NECAB1,-0.327929218,0.000117392
SFXN1,0.7390692,0.000117928
LANCL1,0.744270927,0.000117995
PCSK7,0.521028782,0.000118498
,0.358993109,0.000119102
,0.358993109,0.000119102
MORC4,0.428403236,0.000119575
YIPF6,-0.674410345,0.000119598
AIP,0.370281582,0.000120003
PINK1,-0.721319145,0.000120189
SLC41A2,0.4083696,0.000120386
GART,0.494503164,0.000120463
AARS,0.456673364,0.000120807
KIF22,0.4474296,0.000121142
TMEM94,0.356806382,0.00012147
CCSER2,0.534912127,0.000122551
TDP1,0.643840491,0.000122557
FHDC1,-0.643513527,0.000123032
GPHN,0.436222382,0.000123141
CHIC1,0.426665018,0.000123398
KIF22,0.4534072,0.000123626
SMIM5,-0.573758618,0.000123985
TRAT1,1.531441036,0.000124269
TCP11L2,-0.640550727,0.000124447
COG7,0.349853673,0.000124868
SH3YL1,0.3986906,0.000124971
ZKSCAN3,0.477911836,0.000126199
TTYH2,0.5075566,0.000126722
RUNX3,0.499748145,0.000127122
TRIM68,0.435158236,0.000127579
GORASP2,0.647967327,0.000127794
KLHL3,0.433045527,0.000128313
SMYD3,0.529648382,0.000129621
PIP5K1B,-0.5780352,0.000130251
CCR2,0.860285,0.000131454
TAMM41,0.442728782,0.000131777
ZFP64,0.4532492,0.000132525
AK2,0.520290055,0.000132716
,0.403714309,0.000134166
TRAF1,0.799671018,0.000134831
GABARAPL1,-0.565241091,0.000135005
TNRC6A,0.447039418,0.000135959
METTL17,0.396100855,0.000135979
DCP1A,0.332290255,0.000136161
CD3D,1.3091968,0.00013639
KMT2A,0.435113418,0.000136441
ABCF3,0.377927055,0.000136625
RPL28,0.371499145,0.00013756
OXNAD1,0.877052764,0.000137586
CDC23,0.622050545,0.000137914
ATXN2L,0.3197162,0.000138103
RPS4X,0.687784909,0.000138325
NR2C2AP,0.434074455,0.000138396
DNHD1,0.450990545,0.000138452
ALG9,0.437135982,0.000138504
DYNC1H1,0.534164691,0.000139119
CD8A,1.106865945,0.000140573
,0.490627618,0.000140843
FAM169A,0.613407455,0.000141341
LOC440311///GLTSCR2,0.6888734,0.000141393
CPSF4,0.361552709,0.000142107
DPAGT1,0.575761455,0.000142332
OLAH,-2.379189636,0.000142538
NLRC3,0.483000345,0.000142701
TCF12,0.528515273,0.000143045
TSEN15,0.612936727,0.000143151
TECR,0.470477764,0.00014504
PRMT1,0.456822909,0.000145353
RECK,0.4878796,0.00014628
ZBTB40,0.670651509,0.000146792
SERPINE1,-0.408564891,0.000147033
ERAP1,0.551620545,0.000147039
CDCA4,0.384519418,0.000148183
NFATC2///NFATC2,0.778777418,0.000148471
ABHD12,0.303120527,0.000148638
BMP6///BMP6,-0.974844636,0.000149342
HIST1H1E,0.487059273,0.000150243
TARBP1,0.558186927,0.000150246
LATS1,0.371022255,0.000150992
CCR2,0.881289327,0.000151722
FAM86JP///FAM86HP///FAM86DP///FAM86B2///FAM86FP///FAM86C2P///FAM86B3P///EEF2KMT///FAM86B1///FAM86C1,0.449861709,0.000151731
STAG3L4,0.500737091,0.000152037
SMARCAL1,0.430622382,0.000152277
RANGAP1,0.343887982,0.000152541
LRRC8C,0.636112673,0.000154842
TRMT10B,0.378544309,0.000155833
MRPS18B///MRPS18B,0.497226655,0.000156298
MRPS18B///MRPS18B,0.497226655,0.000156298
MRPS18B///MRPS18B,0.497226655,0.000156298
NSMF,0.576421891,0.000157303
VPS52,0.498080473,0.000158262
NATD1,-1.061199891,0.000158911
HIST2H4B,0.710538618,0.000160299
HIST2H4A,0.710538618,0.000160299
VPS52,0.500677782,0.000160961
VPS52,0.500677782,0.000160961
IDH3B,0.440502764,0.000161629
CUTA,0.5918634,0.000161936
TSPYL2,0.576840709,0.000162486
P2RX4,0.639892927,0.000162845
LOC284009,0.411861036,0.000165369
QARS,0.518540073,0.000166052
PIGL,0.543277,0.000167314
TSPAN32,0.403272309,0.00016753
RPS28,0.430817455,0.000167808
ZNF362,0.389192164,0.000168318
RRP1B,0.549610673,0.000168474
TRMT112,0.543259455,0.000169497
ZNF551,0.501515291,0.000170616
ALKBH3,0.608157909,0.00017171
DDX55,0.499338691,0.0001719
PARP2,0.414431636,0.000172482
UBE2G2,0.455645309,0.000173028
,-0.472058545,0.000173104
AAR2,0.499752618,0.000173303
USP5,0.422709327,0.000173553
ZNF212,0.342324545,0.000174537
P2RY1,-0.408252418,0.000175275
,0.6881798,0.000175465
PSME4,-0.677659055,0.000175781
VSIG4,-0.863776582,0.00017643
RPS28,0.437387818,0.000176577
QRICH1,0.4368758,0.000176623
PLEK2,-1.196108545,0.000176969
LPXN,0.5791402,0.000177871
PCED1B,0.816989855,0.000177892
PVRIG,0.446307036,0.000180176
FLT3LG,0.637245618,0.000180756
TMEM203,0.391731673,0.000181281
IMMT,0.443867182,0.000181439
,-0.476761436,0.00018171
MID2,0.810716745,0.000182014
ENOPH1,0.494485345,0.000182112
BUB3,0.709319891,0.000183127
ULK4,0.614268782,0.00018428
METAP1,0.6962314,0.000184515
NEU3,0.332301527,0.000185388
LRRC75A,-0.696620073,0.000185389
FMNL3,0.516021364,0.000185884
DCTD,0.593727745,0.000186478
LFNG,0.550626382,0.000188475
RASSF4,0.691634164,0.000188499
STOML2,-0.615685527,0.000188613
SLC22A5,0.385185509,0.000188697
PTCH1,0.886935418,0.000188728
NECAP2,0.312256545,0.000189208
APOLD1///DDX47,0.672498473,0.00018932
LOXHD1,-0.809213745,0.000190056
PDIA3P1///PDIA3,0.692184691,0.000190504
MRI1,0.465216382,0.000192142
LAMC1,-0.446144618,0.000193679
EMC1,0.422921909,0.000194935
LOC100131860,0.591967091,0.000195606
RFTN1,0.687955036,0.000196123
KLHL20,0.531228582,0.000196234
EIF3G,0.518137473,0.000196474
ZNF275,0.521798982,0.000196964
SLC22A4,-0.688396,0.000197661
SRPRB,0.758717255,0.000197848
INTS2,0.560627036,0.000198326
NUCKS1,0.8695118,0.000198522
NARS2,0.749127418,0.000198676
MBLAC2,0.529071655,0.000198769
VWA9,0.634053909,0.000198839
IARS,0.763184218,0.000199873
TCN1,-1.096955564,0.000200043
RPS28,0.436449273,0.000200462
MBTPS1,0.496020982,0.000202201
ZKSCAN8,0.581200473,0.000202591
BRD9,0.472973164,0.000202667
WDR54,0.365705164,0.000203056
ELL2,-0.532305436,0.000203633
FAAH2,0.587315382,0.000204645
UBP1,0.342537782,0.000204855
IKBKE,0.448123745,0.000205126
POLR2D,0.524685545,0.000205268
MLLT6,0.402482309,0.000205382
ALG3,0.590659018,0.000206824
C15orf41,0.508904582,0.000207329
NDUFA10,0.407849073,0.000208624
RBMXL1///RBMX,0.6370404,0.0002094
RGPD2///RGPD6///RGPD8///RGPD3///RGPD1///RGPD4///RGPD5///RANBP2,0.562141764,0.00021015
TRAPPC2L,0.400664618,0.00021022
ITM2A,0.929385636,0.000210273
SFMBT1,0.419176109,0.000210538
,0.532372382,0.0002117
GABBR1,0.5770046,0.000213183
SLC7A6,0.6125316,0.000213739
ZNF416,0.532158291,0.000214334
GPATCH4,0.479733709,0.000214707
SPATA5,0.6876556,0.000215585
GABBR1,0.565206727,0.000215798
ACKR3,0.515430218,0.000216612
ZNF619,0.386206073,0.000217199
ZNF559-ZNF177///ZNF559,0.512665109,0.000217672
LINC00680,0.406603618,0.000220058
TMEM109,0.780086018,0.000220804
SAMHD1,0.712081273,0.00022193
SDR39U1,0.437034618,0.000223391
